,model,acc train,acc val
0,Decision Tree,0.9440894568690096,0.9556451612903226
1,voting,0.9217252396166135,0.9435483870967742
2,Naive Bayes,0.9057507987220448,0.9314516129032258
3,KNN,0.9137380191693291,0.9153225806451613
